Time,Plant alarm,Water alarm,Moisture level,Ambient light
2023_06_01_15_08,0,0,1,71
2023_06_01_15_08,0,0,0,71
2023_06_01_15_08,0,0,1,72
2023_06_01_15_08,0,0,1,71
2023_06_01_15_09,0,0,1,71
2023_06_01_15_10,0,0,0,72
2023_06_01_15_11,0,0,0,71
2023_06_01_15_12,0,0,1,71
2023_06_01_15_12,0,0,1,72
2023_06_01_15_13,0,0,0,71
2023_06_01_15_14,0,0,1,71
2023_06_01_15_15,0,0,0,71
2023_06_01_15_16,0,0,0,71
2023_06_01_15_16,0,0,0,71
2023_06_01_15_30,0,0,0,70
2023_06_01_15_30,0,0,0,71
2023_06_01_16_19,0,0,1,69
2023_06_01_16_20,0,0,0,69
2023_06_01_16_20,0,0,0,69
2023_06_01_16_20,0,0,1,69
2023_06_01_16_21,0,0,1,69
2023_06_01_16_21,0,0,1,68
2023_06_01_16_21,0,0,1,67
2023_06_01_16_22,0,0,1,69
2023_06_01_16_22,0,0,0,68
2023_06_01_16_22,0,0,1,63
2023_06_01_16_23,0,0,0,63
2023_06_01_16_31,0,0,1,64
2023_06_01_16_32,0,0,0,59
2023_06_01_16_33,0,0,0,65
2023_06_01_16_39,0,0,0,64
2023_06_01_16_40,0,0,1,64
2023_06_01_16_41,0,0,1,60
2023_06_01_16_42,0,0,0,65
2023_06_01_16_45,0,0,0,64
2023_06_01_16_46,0,0,0,64
2023_06_01_16_48,0,0,1,64
2023_06_01_16_58,0,0,0,68
2023_06_01_16_59,0,0,0,68
2023_06_01_17_00,0,0,0,68
2023_06_01_17_44,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_45,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_45,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_45,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_45,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_45,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_45,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_45,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_45,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_46,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_54,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_54,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_54,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_54,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_54,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_54,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_54,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_55,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_55,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_55,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_55,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_55,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_55,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_55,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_56,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_56,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_56,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_17_59,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_00,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_00,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_00,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_00,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_00,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_00,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_00,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_00,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_01,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_01,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_01,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_01,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_06,0,0,0,64
2023_06_01_18_07,0,0,1,64
2023_06_01_18_08,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_08,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_08,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_08,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_08,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_08,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_08,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_08,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_16,0,0,1,64
2023_06_01_18_16,0,0,1,64
2023_06_01_18_19,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_19,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_19,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_19,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_19,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_19,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_20,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_21,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_21,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_21,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_21,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_21,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_26,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_27,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_28,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_28,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_28,plant_alarm_topic1,1,moisture_topic1,ambient_light_topic1
2023_06_01_18_35,0,0,0,65
2023_06_01_18_36,0,0,1,64
2023_06_01_18_37,0,0,0,59
2023_06_01_18_38,0,0,0,64
2023_06_01_18_39,0,0,1,66
2023_06_01_18_40,1,1,93,65
2023_06_01_18_41,0,0,0,65
2023_06_01_18_42,0,0,1,67
2023_06_01_18_43,0,0,1,67
